run_type,run_index,accuracy,time_seconds,total_tokens,cost_usd,num_turns,num_subagents,total_messages,lead_agent_messages,subagent_messages,total_errors,total_tool_calls,total_subagent_calls,websearch_calls,webfetch_calls,read_calls,task_calls,bash_calls,subagent_similarity,subagent_success_avg,subagents_completed,subagents_completed_pct,clustering_mean,clustering_std,num_clusters,correctness,confidence
ww-eval-singleagent,0,1,161.122,6883,0.6012192,76,0,78,78,0,3,30,0,21,9,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,1,0,16.734,545,0.07075595000000001,11,0,13,13,0,0,4,0,2,2,0,0,0,,,0,,,,0,5.0,100.0
ww-eval-singleagent,2,1,125.203,3694,0.40897785000000003,44,0,46,46,0,0,17,0,13,4,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,3,1,39.541,836,0.10853209999999999,19,0,21,21,0,0,7,0,4,3,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,4,1,69.529,2878,0.1895497,24,0,26,26,0,0,9,0,6,3,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,5,1,116.324,4979,0.36364185,49,0,51,51,0,3,19,0,14,5,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,6,0,133.717,5398,0.47391395000000003,62,0,64,64,0,2,24,0,17,7,0,0,0,,,0,,,,0,0.0,100.0
ww-eval-singleagent,7,1,52.388,2484,0.13613235,21,0,23,23,0,0,8,0,4,4,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,8,0,255.825,4537,0.3052492,47,0,49,49,0,0,17,0,11,6,0,0,0,,,0,,,,0,4.0,100.0
ww-eval-singleagent,9,0,315.426,8619,0.45857115,51,0,53,53,0,3,20,0,17,3,0,0,0,,,0,,,,0,5.0,100.0
ww-eval-singleagent,10,1,357.869,12643,0.7608397000000001,97,0,99,99,0,5,38,0,27,11,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,11,1,43.596,1924,0.1150023,19,0,21,21,0,0,7,0,4,3,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,12,1,29.043,1688,0.07091265000000001,14,0,16,16,0,0,5,0,2,3,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,13,1,31.093,807,0.09160290000000001,18,0,20,20,0,0,6,0,3,3,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,14,0,59.095,2506,0.18033835000000004,27,0,29,29,0,0,10,0,6,4,0,0,0,,,0,,,,0,6.0,100.0
ww-eval-singleagent,15,0,333.293,2192,0.2745352999999999,44,0,46,46,0,4,15,0,10,5,0,0,0,,,0,,,,0,0.0,100.0
ww-eval-singleagent,16,1,50.35,2427,0.13015835,17,0,19,19,0,0,6,0,3,3,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,17,0,184.874,7656,0.6248521499999999,77,0,79,79,0,3,29,0,21,8,0,0,0,,,0,,,,0,2.0,100.0
ww-eval-singleagent,18,1,42.513,2545,0.20540885,19,0,21,21,0,0,7,0,6,1,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,19,0,48.236,1166,0.21598515000000001,24,0,26,26,0,1,9,0,7,2,0,0,0,,,0,,,,0,8.0,100.0
ww-eval-singleagent,20,1,20.636,503,0.07838465,9,0,11,11,0,0,3,0,2,1,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,21,1,16.589,378,0.03286475,7,0,9,9,0,0,2,0,1,1,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,22,0,44.318,1824,0.10958494999999999,17,0,19,19,0,0,6,0,3,3,0,0,0,,,0,,,,0,0.0,100.0
ww-eval-singleagent,23,0,133.961,5218,0.43478675,59,0,61,61,0,1,22,0,17,5,0,0,0,,,0,,,,0,0.0,100.0
ww-eval-singleagent,24,1,20.432,564,0.06495290000000001,11,0,13,13,0,0,4,0,2,2,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,25,1,29.653,595,0.07946570000000001,12,0,14,14,0,0,4,0,3,1,0,0,0,,,0,,,,0,10.0,100.0
ww-eval-singleagent,26,0,81.77,2183,0.1433086,32,0,34,34,0,1,11,0,6,5,0,0,0,,,0,,,,0,0.0,100.0
ww-eval-singleagent,27,0,163.522,5630,0.24866639999999998,42,0,44,44,0,4,16,0,10,6,0,0,0,,,0,,,,0,5.0,100.0
ww-eval-singleagent,28,0,232.22,7881,0.65513025,102,0,104,104,0,1,40,0,27,13,0,0,0,,,0,,,,0,0.0,100.0
ww-eval-singleagent,29,0,66.232,2994,0.1582502,29,0,31,31,0,2,11,0,5,6,0,0,0,,,0,,,,0,6.0,100.0
ww-eval-singleagent,30,0,25.55,1671,0.0577267,11,0,13,13,0,0,4,0,2,2,0,0,0,,,0,,,,0,6.0,100.0
ww-eval-singleagent,31,0,130.041,7130,0.45838180000000006,57,0,59,59,0,1,22,0,15,7,0,0,0,,,0,,,,0,,
ww-eval-singleagent,32,1,53.936,2682,0.1843732,29,0,31,31,0,0,11,0,6,5,0,0,0,,,0,,,,0,10.0,100.0
